patent_id,organization_id
6004354,1
7582425,1
8324178,1
8445222,1
9096544,1
6635260,1
7452865,1
7482323,1
7674464,1
7677734,1
9220697,1
9226965,1
4899956,1
5284829,1
5925376,1
6204245,1
6784154,1
7063850,1
9050279,1
9454509,1
5411748,1
8058014,1
8759296,1
9598441,1
5885958,1
6399743,1
7741113,1
8053181,1
8481056,1
8777282,1
4726941,1
4920989,1
5447914,1
6562606,1
6692922,1
8876753,1
9032635,1
9551040,1
5163440,1
5316759,1
5643912,1
5763496,1
9254280,1
5705350,1
6867177,1
8263556,1
8268307,1
8323668,1
8785602,1
9421363,1
9546151,1
RE35585,1
4681933,1
5243041,1
5726190,1
6083962,1
6869766,1
8080223,1
8603462,1
6559167,1
8252775,1
8772571,1
8956825,1
9259844,1
8648052,1
9513288,1
6535873,1
7709031,1
7749983,1
5780240,1
8394763,1
8920807,1
5607846,1
5997908,1
6071922,1
7160547,1
9513289,1
4953572,1
5498539,1
7348305,1
7381400,1
7872048,1
8722866,1
4623354,1
5480651,1
5703101,1
7147838,1
8912146,1
5914109,1
6921526,1
8481543,1
8685404,1
8961955,1
4866042,1
5111419,1
7108975,1
8383116,1
9085604,1
9211301,1
5893371,1
7202030,1
8084023,1
8491913,1
9011857,1
9539220,1
4816402,1
5424286,1
6180082,1
8753660,1
8912359,1
9458215,1
5780278,1
6107464,1
6232522,1
6448000,1
7217519,1
8779104,1
9490420,1
5357251,1
6245332,1
6446751,1
6842692,1
8480760,1
8870786,1
9057731,1
9220720,1
5053215,1
5724433,1
5998485,1
6167888,1
7270827,1
8101572,1
8580769,1
6506384,1
7112566,1
7566310,1
9133230,1
9254295,1
7550299,1
7638319,1
9433505,1
6017883,1
8349374,1
8765673,1
7348161,1
7476655,1
8013120,1
8410138,1
8791092,1
9072709,1
9226904,1
4916122,1
5124146,1
5750354,1
5811460,1
5951473,1
7052837,1
8235924,1
6590107,1
4715387,1
4940816,1
5086779,1
5383478,1
7025564,1
7049410,1
7825092,1
9066903,1
9572862,1
5085226,1
6686336,1
6870043,1
7745402,1
8252912,1
8318906,1
8598354,1
8954133,1
9295664,1
9359425,1
9539246,1
4656128,1
4786590,1
6649594,1
7022315,1
7951531,1
8334000,1
8387277,1
9482528,1
4841039,1
6303578,1
8962569,1
5767122,1
5925643,1
6200546,1
7060247,1
8021671,1
8388881,1
8435507,1
8716436,1
9272051,1
5085225,1
5834011,1
6190894,1
6582934,1
8012517,1
9051550,1
5753931,1
8557867,1
8895018,1
8980952,1
9119869,1
9155801,1
9243051,1
5706352,1
5998174,1
6893812,1
7655401,1
8658350,1
4589419,1
5016652,1
5660826,1
5721349,1
5935975,1
6197777,1
8790871,1
8991881,1
4945928,1
7335640,1
7373199,1
7807623,1
8097645,1
8353846,1
8361707,1
8388947,1
9062350,1
9254234,1
9492536,1
5688511,1
5771894,1
7690057,1
7816140,1
8317700,1
8580776,1
8680056,1
8785500,1
8796233,1
9206131,1
9333237,1
5541066,1
5948412,1
5972657,1
6245331,1
7060733,1
8950086,1
9597007,1
5179104,1
5444063,1
5804592,1
5849695,1
6379669,1
9040233,1
5976536,1
7649088,1
8053197,1
8180126,1
8490242,1
5190926,1
5653986,1
5976817,1
6365138,1
7263467,1
9289145,1
9464135,1
9511075,1
9513286,1
9597372,1
6881406,1
7427662,1
7807182,1
8084424,1
RE046211,1
5861422,1
5902831,1
7429482,1
9079936,1
9101276,1
9192644,1
9249103,1
5475759,1
6361759,1
7462486,1
7829578,1
8227194,1
4846199,1
5059415,1
8067365,1
5466702,1
5798336,1
8377447,1
8858946,1
4119300,2
5352607,2
6005073,2
6576779,2
8506835,2
9327342,2
6071394,2
6137158,2
6331217,2
7230711,2
8592511,2
4475026,2
4859594,2
5804384,2
5856430,2
6306280,2
7411341,2
8300993,2
8323794,2
8334690,2
8497934,2
5701578,2
6387179,2
6650620,2
6706659,2
7794837,2
7944647,2
8084125,2
9068904,2
9397266,2
9402376,2
4221550,2
4762009,2
5155357,2
5367084,2
5651016,2
7512454,2
8195395,2
9061907,2
9241478,2
9328024,2
4213824,2
4744933,2
5165925,2
5475305,2
5804702,2
6638639,2
7160708,2
7334014,2
7366361,2
7407782,2
7957902,2
4726321,2
4808707,2
5308986,2
5771975,2
5935889,2
6039850,2
6143857,2
6968248,2
6979396,2
6989086,2
7132519,2
7749564,2
7829314,2
8519214,2
8758657,2
3987802,2
5370778,2
5682128,2
5997369,2
6744800,2
6764822,2
7002890,2
7127310,2
7229832,2
9051350,2
4440611,2
6090543,2
6596531,2
6717124,2
7305582,2
7473764,2
7763820,2
7863406,2
7969323,2
8038479,2
8617997,2
9297925,2
5103701,2
6410664,2
6506860,2
6872432,2
7122072,2
7556835,2
8357708,2
9155891,2
3989920,2
4059457,2
4285099,2
5919736,2
6274293,2
7098487,2
7185236,2
8129894,2
8331751,2
4037084,2
5556536,2
5911965,2
6103081,2
6285415,2
6546340,2
6548795,2
6844198,2
6923939,2
7033804,2
7078731,2
7228452,2
7810549,2
8389114,2
8772187,2
4144380,2
6001567,2
6049554,2
6593894,2
6744833,2
7231554,2
7241587,2
7563609,2
8067551,2
8857266,2
9349905,2
4029727,2
6782302,2
4375991,2
5692185,2
5708674,2
5807498,2
6205291,2
6586088,2
7125453,2
7907784,2
8357945,2
5560003,2
5616540,2
5864137,2
6029194,2
6468748,2
6545264,2
7247213,2
7649205,2
7803125,2
9113615,2
4603006,2
5540079,2
5551361,2
5825526,2
6197714,2
6327083,2
8486623,2
3998603,2
4244749,2
5963351,2
6682811,2
7221454,2
8129418,2
9050647,2
5313067,2
5401196,2
5781682,2
7043318,2
7206964,2
8474207,2
5465760,2
5687368,2
5985557,2
6230069,2
4289126,2
5672717,2
6376223,2
6671298,2
7205692,2
8923978,2
5717707,2
6503734,2
6600996,2
6753407,2
6904329,2
7875757,2
8606066,2
9102989,2
9202688,2
3952939,2
4317429,2
5177633,2
5965691,2
6725113,2
6879851,2
6957149,2
7054702,2
7065975,2
7273562,2
7326819,2
7355058,2
7407780,2
7922483,2
7981495,2
4320150,2
6142382,2
6451975,2
6881873,2
7047266,2
7381338,2
7596803,2
9359689,2
4534881,2
5677434,2
5746145,2
5819304,2
5843654,2
6295130,2
6506704,2
6673616,2
7069097,2
7235159,2
7449308,2
7786503,2
7828042,2
9010402,2
6562922,2
6818163,2
7015175,2
7072731,2
7823321,2
8384115,2
8519866,2
9240255,2
4140005,2
5422831,2
6099162,2
6483851,2
6907305,2
6928577,2
6977115,2
7251745,2
7899207,2
7956520,2
8608893,2
5436193,2
5596146,2
6090558,2
6569670,2
7099777,2
7223488,2
7648860,2
8009120,2
8476545,2
9499686,2
4940954,2
5733729,2
6171174,2
6597194,2
6927188,2
7169467,2
7341410,2
7856067,2
7859008,2
7994783,2
8541001,2
4080930,2
5309374,2
5654229,2
5829445,2
6021337,2
6183709,2
6197715,2
6699659,2
6864075,2
7022889,2
7388084,2
8398922,2
8531516,2
8563803,2
8759512,2
4250301,2
5307030,2
5307146,2
6090606,2
7407592,2
7973311,2
4180935,2
6051378,2
6940599,2
7380453,2
7402253,2
7641825,2
7813993,2
7985451,2
8894920,2
9333066,2
5076208,2
5629266,2
5766981,2
6228593,2
6325871,2
7435329,2
5128680,2
5218204,2
5824478,2
6326485,2
6566055,2
7625446,2
7638815,2
9279193,2
5215597,2
5919571,2
6564113,2
6573345,2
6673613,2
6756545,2
6790640,2
7544172,2
8600906,2
5233462,2
5376151,2
5747821,2
6280590,2
6635452,2
7193100,2
5856431,2
6339030,2
7208437,2
8613818,2
8652295,2
9328432,2
4133294,2
4574150,2
5583513,2
5813467,2
6075913,2
6555406,2
6669803,2
6988305,2
7063825,2
7239076,2
8034270,2
9023875,2
9114255,2
9125719,2
9368428,2
4062921,2
4354297,2
4964034,2
5161481,2
5420959,2
5446166,2
5965363,2
5987456,2
6050316,2
6348314,2
6475616,2
6816528,2
7420024,2
8465795,2
8877462,2
4115194,2
4931551,2
5062025,2
5367308,2
5698737,2
5846717,2
6842873,2
7135292,2
7498651,2
7801126,2
7818665,2
8204695,2
8816296,2
4585560,2
5755850,2
6372424,2
6875572,2
7320884,2
7532435,2
8216811,2
8368100,2
8507749,2
9140283,2
RE35574,2
3947921,2
4090917,2
5834055,2
6808928,2
7270947,2
7566567,2
7626075,2
8281351,2
8491668,2
8679197,2
5434464,2
5771252,2
6200655,2
6574655,2
7602937,2
9140657,2
4063016,2
5327496,2
5394083,2
5830336,2
5843669,2
5846265,2
6203923,2
6438573,2
7374917,2
8871966,2
4054783,2
4286087,2
5843802,2
5973782,2
6066454,2
6356350,2
6576452,2
6777213,2
6801819,2
8158289,2
8637082,2
8920675,2
4198926,2
4532321,2
5817743,2
6445495,2
6487902,2
6645536,2
6647041,2
6753107,2
7157237,2
7259007,2
7326328,2
7479264,2
8643039,2
8883483,2
9206497,2
4249131,2
4587021,2
5554764,2
6050612,2
8022864,2
8883903,2
9468765,2
4065875,2
4736170,2
4749620,2
5334941,2
5764676,2
6604219,2
7279085,2
7318763,2
7776240,2
7902736,2
4165433,2
4289196,2
5421973,2
5832019,2
6126795,2
6451960,2
6570659,2
6805807,2
6913849,2
7306917,2
5740750,2
6676169,2
6878780,2
7084199,2
7106441,2
7935513,2
8962345,2
6295387,3
7664343,3
5772983,4
5500900,4
8329195,4
9132179,4
8019431,4
7223246,4
8881040,4
6030350,4
6808887,4
7725565,4
6159707,4
7912542,4
9489495,4
7609841,4
6203939,4
9008339,4
6608176,4
8532759,4
9529974,4
5506101,4
6078838,4
5518088,4
8280087,4
9080159,4
6589235,4
9458420,4
6782619,4
6907130,4
3974403,5
3990638,5
4140462,5
4639542,5
4700045,5
4701928,5
4795664,5
4810338,5
4816755,5
5142255,5
5257144,5
5804710,5
5875126,5
5902994,5
5915423,5
6063960,5
6419765,5
6452049,5
6455311,5
6894678,5
6906559,5
6913655,5
7235906,5
7248909,5
7249149,5
7265844,5
7286982,5
7358377,5
7368430,5
7419719,5
7432868,5
7464650,5
7531181,5
7579147,5
7626844,5
7667994,5
7887790,5
7915245,5
7960163,5
7973559,5
8094453,5
8103660,5
8112247,5
8164122,5
8207992,5
8460907,5
8476063,5
8478875,5
8651113,5
8678937,5
8690331,5
8843890,5
8855737,5
8986528,5
8999949,5
9009723,5
9114891,5
9115170,5
9150604,5
9167972,5
9243057,5
9250051,5
9259455,5
9392760,5
9401741,5
9463261,5
9467569,5
9482105,5
9486168,5
9488544,5
9520552,5
9580321,5
4129848,5
4134634,5
4399999,5
4834772,5
5015855,5
5371816,5
5499564,5
5594256,5
5972782,5
6350493,5
6396866,5
6632922,5
7289699,5
7311764,5
7315815,5
7336145,5
7563601,5
7582438,5
7592422,5
7773363,5
7790697,5
7885973,5
7994657,5
7999069,5
8110719,5
8257716,5
8368208,5
8427650,5
8501233,5
8557208,5
8561007,5
8640189,5
8661004,5
8699248,5
8751600,5
8856766,5
8904891,5
8951542,5
9005460,5
9021934,5
9029836,5
9194368,5
9227360,5
9265738,5
9290833,5
9331331,5
9469878,5
9588255,5
9597434,5
4035525,5
4095136,5
4183035,5
4240076,5
4319905,5
4346222,5
4790651,5
4835074,5
4892964,5
4925856,5
4962160,5
5342769,5
5554430,5
5931718,5
6191989,5
6218127,5
6394242,5
6518905,5
6570370,5
